serviceChangeNum,routeNum,direction,stopId,stopName,stopOrderNum,timeOfDay,tripBoardings,tripAlightings,departingLoad,dailyBoardings,dailyAlightings
2510,515,O,640,4th Ave S & S Jackson St,0,PM,2.131,0.000,2.131,37.522,0.000
2510,515,O,635,4th Ave S & S Washington St,1,PM,0.636,0.048,2.487,10.391,0.783
2510,515,O,2638,4th Ave & Cherry St,2,PM,3.909,0.042,6.536,68.826,0.739
2510,515,O,641,4th Ave & Seneca St,3,PM,3.255,0.351,9.453,57.174,6.174
2510,515,O,2976,4th Ave & Pine St,4,PM,2.057,0.421,11.042,36.304,7.435
2510,515,O,473,Olive Way & 6th Ave,5,PM,5.581,0.315,16.308,98.522,5.565
2510,515,O,430,Howell St & 9th Ave,6,PM,3.860,0.404,19.764,68.130,7.130
2510,515,O,431,Howell St & Yale Ave,7,PM,2.172,1.003,21.213,37.304,17.217
2510,515,O,2766,Mountlake Terrace Fwy Station Bay 7,10,PM,0.123,12.723,8.969,2.043,211.304
2510,515,O,2118,Lynnwood City Center Station Bay A5,11,PM,0.092,9.116,-0.008,1.522,150.609
2510,515,O,2766,Mountlake Terrace Fwy Station Bay 7,10,XEV,0.042,2.042,8.625,0.043,2.130
2510,515,O,2118,Lynnwood City Center Station Bay A5,11,XEV,0.385,8.346,0.000,0.435,9.435
2510,515,I,2113,Lynnwood City Center Station Bay D1,0,XNT,16.767,0.000,16.767,31.348,0.000
2510,515,I,2765,Mountlake Terrace Fwy Station Bay 6,1,XNT,2.093,0.000,18.860,3.913,0.000
2510,515,I,1909,Stewart St & 9th Ave,4,XNT,0.000,3.870,17.261,0.000,3.870
2510,515,I,1908,Stewart St & 7th Ave,5,XNT,0.000,4.609,12.652,0.000,4.609
2510,515,I,2698,5th Ave & Pine St,6,XNT,0.000,2.174,10.478,0.000,2.174
2510,515,I,2700,5th Ave & Seneca St,7,XNT,0.000,2.261,8.217,0.000,2.261
2510,515,I,2702,5th Ave & Marion St,8,XNT,0.000,3.864,4.591,0.000,3.696
2510,515,I,2290,5th Ave & Jefferson St,9,XNT,0.000,3.619,0.952,0.000,3.304
2510,515,I,2706,5th Ave S & S Jackson St,10,AM,0.050,1.024,-0.204,0.739,15.043
2510,515,I,1909,Stewart St & 9th Ave,4,AM,0.364,10.155,21.525,5.435,151.435
2510,515,I,1908,Stewart St & 7th Ave,5,AM,0.153,5.753,16.047,2.261,85.043
2510,515,I,2698,5th Ave & Pine St,6,AM,0.281,2.278,14.148,4.130,33.478
2510,515,I,2700,5th Ave & Seneca St,7,AM,0.128,5.027,9.334,1.870,73.217
2510,515,I,2702,5th Ave & Marion St,8,AM,0.033,5.440,3.931,0.478,79.000
2510,515,I,2290,5th Ave & Jefferson St,9,AM,0.012,3.231,0.736,0.174,46.783
2510,515,I,2113,Lynnwood City Center Station Bay D1,0,AM,24.660,0.000,24.660,397.783,0.000
2510,515,I,2765,Mountlake Terrace Fwy Station Bay 6,1,AM,5.494,0.051,30.664,84.565,0.783
2510,515,I,2290,5th Ave & Jefferson St,9,MID,0.017,0.458,0.254,0.043,1.174
2510,515,I,2706,5th Ave S & S Jackson St,10,MID,0.097,0.339,0.000,0.261,0.913
2510,515,I,1909,Stewart St & 9th Ave,4,MID,0.312,6.104,7.271,0.652,12.739
2510,515,I,1908,Stewart St & 7th Ave,5,MID,0.224,3.735,3.776,0.478,7.957
2510,515,I,2698,5th Ave & Pine St,6,MID,0.226,0.604,3.377,0.522,1.391
2510,515,I,2700,5th Ave & Seneca St,7,MID,0.232,1.464,2.214,0.565,3.565
2510,515,I,2702,5th Ave & Marion St,8,MID,0.034,1.655,0.707,0.087,4.174
2510,515,I,2765,Mountlake Terrace Fwy Station Bay 6,1,MID,2.118,0.000,11.059,1.565,0.000
2510,515,O,431,Howell St & Yale Ave,7,XEV,1.083,0.250,10.083,0.565,0.130
2510,515,I,2706,5th Ave S & S Jackson St,10,XNT,0.000,0.462,0.000,0.000,0.261
2510,515,O,641,4th Ave & Seneca St,3,XEV,0.000,0.000,1.000,0.000,0.000
2510,515,O,2976,4th Ave & Pine St,4,XEV,2.000,0.000,3.000,0.087,0.000
2510,515,O,473,Olive Way & 6th Ave,5,XEV,1.000,0.000,4.000,0.043,0.000
2510,515,O,430,Howell St & 9th Ave,6,XEV,0.000,0.000,4.000,0.000,0.000
