serviceChangeNum,routeNum,direction,stopId,stopName,stopOrderNum,timeOfDay,tripBoardings,tripAlightings,departingLoad,dailyBoardings,dailyAlightings
223,60,I,39980,25th Ave SW & SW Henderson St,1,AM,0.8,0,1.1,12.9,0
223,60,I,39990,25th Ave SW & SW Barton St - Bay 4,2,AM,0.9,0.1,1.9,15.7,2.2
223,60,I,31736,SW Barton Pl & 22nd Ave SW,3,AM,0,0,1.9,0.6,0
223,60,I,22252,Delridge Way SW & SW Henderson St,4,AM,0.3,0,2.2,5.3,0.6
223,60,I,22253,Delridge Way SW & SW Barton St,5,AM,0.6,0,2.8,10.1,0.3
223,60,I,21080,SW Roxbury St & 15th Ave SW - Bay 3,6,AM,1.8,0.1,4.5,30.6,1.4
223,60,I,21090,SW Roxbury St & 12th Ave SW,7,AM,0.2,0,4.6,3.2,0.1
223,60,I,21110,SW Roxbury St & 8th Ave SW,8,AM,1,0.1,5.6,17.1,1.9
223,60,I,21120,SW Roxbury St & 5th Ave SW,9,AM,0.4,0,5.9,6.5,0.3
223,60,I,21140,Olson Pl SW & 3rd Ave SW,10,AM,0.1,0,6,2,0
223,60,I,21141,Olson-Myers Way Park And Ride,11,AM,1.2,0.3,6.8,19.7,5.6
223,60,I,32100,S Cloverdale St & 5th Ave S,12,AM,0.6,0.3,7.3,9.4,4.5
223,60,I,32120,S Cloverdale St & 8th Ave S,13,AM,0.4,0.2,7.6,7,3
223,60,I,32140,S Cloverdale St & 12th Ave S,14,AM,0.8,0.2,8.2,13.1,2.8
223,60,I,32150,14th Ave S & S Cloverdale St,15,AM,0.6,0.3,8.4,10,4.6
223,60,I,32160,16th Ave S & East Marginal Way S,16,AM,0,0.4,8,0,6.6
223,60,I,79561,East Marginal Way S & 14th Ave S,17,AM,0.1,0.1,7.9,1.3,2.4
223,60,I,45740,East Marginal Way S & Ellis Ave S,18,AM,0.2,0.2,7.9,3.2,3.7
223,60,I,45751,East Marginal Way S & Corson Ave S,19,AM,0,0.1,7.8,0.4,1.8
223,60,I,40871,Corson Ave S & S Willow St,20,AM,0.5,0.1,8.2,8.1,1.5
223,60,I,40873,Corson Ave S & S Warsaw St,21,AM,0.2,0.3,8,2.7,5.1
223,60,I,40876,S Bailey St & Carleton Ave S,22,AM,0.2,0.2,8.2,2.4,2.6
223,60,I,41740,13th Ave S & S Bailey St,23,AM,0.4,0.4,8.2,6.9,6.3
223,60,I,41750,S Albro Pl & Stanley Ave S,24,AM,0,0.1,8.2,0.7,1
223,60,I,41760,Swift Ave S & 16th Ave S,25,AM,0.6,0.2,8.7,10,2.8
223,60,I,41780,15th Ave S & S Lucile St,26,AM,1.8,0.9,9.6,29.1,14
223,60,I,41800,15th Ave S & S Pearl St,27,AM,0.7,0,10.3,11.2,0.2
223,60,I,41805,15th Ave S & S Shelton St,28,AM,0.7,0,11,10.7,0
223,60,I,41819,15th Ave S & S Angeline St,29,AM,0.6,0.1,11.5,9.7,1.2
223,60,I,41830,15th Ave S & S Oregon St,30,AM,1.2,1,11.7,18.8,15.4
223,60,I,30510,15th Ave S & S Dakota St,31,AM,1.3,0.1,13,21.5,1.3
223,60,I,41850,15th Ave S & S Spokane St,32,AM,1.1,0,14.3,17.1,0.2
223,60,I,41870,15th Ave S & S Hanford St,33,AM,0.2,0,14.5,3.3,0.1
223,60,I,41880,15th Ave S & S Stevens St,34,AM,0.3,0,14.8,4,0.4
223,60,I,3470,Beacon Ave S & S Lander St,35,AM,4,5.4,13.4,59.3,80.5
223,60,I,3484,Beacon Ave S & 15th Ave S,36,AM,0.9,0.2,14.1,13.2,2.3
223,60,I,3500,14th Ave S & S Hill St,37,AM,0.5,0.2,14.4,7.8,3.5
223,60,I,3515,14th Ave S & S Holgate St,38,AM,0.5,0.1,14.8,6.8,1
223,60,I,3530,S Massachusetts St & 14th Ave S,39,AM,0.9,0.1,15.6,12.9,1.2
223,60,I,3541,12th Ave S & S Massachusetts St,40,AM,0.9,0.1,16.4,13,0.8
223,60,I,3550,12th Ave S & S Atlantic St,41,AM,0.4,0,16.8,6.4,0.2
223,60,I,3570,12th Ave S & S Judkins St,42,AM,0.1,0.3,16.6,1.6,3.9
223,60,I,3580,S Charles St & Golf Dr S,43,AM,0.9,0.1,17.5,13.2,1
223,60,I,3589,12th Ave S & S Weller St,44,AM,0.2,1.2,16.7,2.6,16.3
223,60,I,41900,12th Ave S & S Jackson St,45,AM,2.5,2.8,16.5,35.4,38.5
223,60,I,27420,Yesler & Broadway,46,AM,0.9,0.3,17.1,12.8,4.3
223,60,I,41930,9th Ave & Alder St,47,AM,0.7,6.2,11.6,9.8,86.4
