serviceChangeNum,routeNum,direction,stopId,stopName,stopOrderNum,timeOfDay,tripBoardings,tripAlightings,departingLoad,dailyBoardings,dailyAlightings
2510,702,I,3035,Canyon Park Park & Ride Bay 6,0,XNT,1.694,0.000,1.694,11.783,0.000
2510,702,I,3033,220th St SE NB Station,1,XNT,0.400,0.000,2.106,2.783,0.000
2510,702,I,3032,208th St SE NB Station,2,XNT,1.460,0.195,3.431,11.043,1.478
2510,702,I,3031,196th St SE NB Station,3,XNT,0.590,0.225,3.893,4.565,1.739
2510,702,I,3030,180th St SE NB Station,4,XNT,0.662,0.450,4.319,4.609,3.130
2510,702,I,3029,164th St SE NB Station,5,XNT,0.906,0.769,4.456,6.304,5.348
2510,702,I,3028,153rd St SE NB Station,6,XNT,0.256,0.231,4.481,1.783,1.609
2510,702,I,3027,Trillium Blvd NB Station,7,XNT,0.150,0.081,4.550,1.043,0.565
2510,702,I,3026,16th Ave SE NB Station,8,XNT,1.525,0.669,5.406,10.609,4.652
2510,702,I,3025,Dumas Rd NB Station,9,XNT,0.294,0.113,5.588,2.043,0.783
2510,702,I,3024,3rd Ave SE NB Station,10,XNT,0.481,0.362,5.706,3.348,2.522
2510,702,I,3023,4th Ave W NB Station,11,XNT,2.901,2.444,6.198,20.435,17.217
2510,702,I,3022,Gibson Rd NB Station,12,XNT,0.744,0.506,6.798,5.435,3.696
2510,702,I,3021,Hwy 99 NB Station,13,XNT,0.596,4.584,3.043,4.174,32.087
2510,702,I,3020,112th St SW NB Station,14,XNT,0.081,0.556,2.556,0.565,3.870
2510,702,I,3019,100th St SW NB Station,15,XNT,0.006,0.087,2.475,0.043,0.609
2510,702,I,3018,Kasch Park Rd NB Station,16,XNT,0.138,0.900,1.712,0.957,6.261
2510,702,I,3017,Seaway Transit Center Bay 13,17,XNT,0.158,1.867,0.000,1.087,12.826
2510,702,I,3017,Seaway Transit Center Bay 13,17,AM,0.002,3.496,0.002,0.043,72.652
2510,702,I,3022,Gibson Rd NB Station,12,AM,0.874,0.299,7.312,18.652,6.391
2510,702,I,3021,Hwy 99 NB Station,13,AM,1.371,2.994,5.659,29.913,65.348
2510,702,I,3020,112th St SW NB Station,14,AM,0.060,0.742,4.968,1.304,16.261
2510,702,I,3019,100th St SW NB Station,15,AM,0.014,0.705,4.289,0.304,15.391
2510,702,I,3018,Kasch Park Rd NB Station,16,AM,0.014,0.902,3.416,0.304,19.522
2510,702,I,3030,180th St SE NB Station,4,AM,1.172,0.348,4.763,26.652,7.913
2510,702,I,3029,164th St SE NB Station,5,AM,0.469,0.520,4.702,10.739,11.913
2510,702,I,3028,153rd St SE NB Station,6,AM,0.436,0.201,4.935,9.913,4.565
2510,702,I,3027,Trillium Blvd NB Station,7,AM,0.511,0.667,4.799,11.478,15.000
