serviceChangeNum,routeNum,direction,stopId,stopName,stopOrderNum,timeOfDay,tripBoardings,tripAlightings,departingLoad,dailyBoardings,dailyAlightings
232,60,I,39980,25th Ave SW & SW Henderson St,1,AM,0.6,0,0.8,9.6,0
232,60,I,39990,25th Ave SW & SW Barton St - Bay 4,2,AM,1,0.1,1.7,16.9,1.4
232,60,I,31736,SW Barton Pl & 22nd Ave SW,3,AM,0,0,1.7,0.6,0.2
232,60,I,22252,Delridge Way SW & SW Henderson St,4,AM,0.1,0,1.8,2,0.5
232,60,I,22253,Delridge Way SW & SW Barton St,5,AM,0.6,0.1,2.4,11,1
232,60,I,21080,SW Roxbury St & 15th Ave SW - Bay 3,6,AM,2,0.2,4.2,34.1,3.2
232,60,I,21090,SW Roxbury St & 12th Ave SW,7,AM,0.2,0,4.4,2.8,0
232,60,I,21110,SW Roxbury St & 8th Ave SW,8,AM,0.5,0.2,4.7,9.2,3.8
232,60,I,21120,SW Roxbury St & 5th Ave SW,9,AM,0.4,0,5,6,0.5
232,60,I,21140,Olson Pl SW & 3rd Ave SW,10,AM,0,0,5,0.5,0.5
232,60,I,21141,Olson-Myers Way Park And Ride,11,AM,1.3,0.5,5.9,22.4,7.7
232,60,I,32100,S Cloverdale St & 5th Ave S,12,AM,0.6,0.4,6.1,9.2,7
232,60,I,32120,S Cloverdale St & 8th Ave S,13,AM,0.4,0.2,6.4,6.8,2.8
232,60,I,32140,S Cloverdale St & 12th Ave S,14,AM,0.8,0.3,6.9,12.7,4.9
232,60,I,32150,14th Ave S & S Cloverdale St,15,AM,0.6,0.4,7.1,10.5,6.5
232,60,I,32160,16th Ave S & East Marginal Way S,16,AM,0,0.3,6.7,0,5.4
232,60,I,79561,East Marginal Way S & 14th Ave S,17,AM,0.1,0.1,6.7,1.9,2
232,60,I,45740,East Marginal Way S & Ellis Ave S,18,AM,0.1,0.1,6.7,1.3,2.4
232,60,I,45751,East Marginal Way S & Corson Ave S,19,AM,0,0,6.7,0.2,0.8
232,60,I,40871,Corson Ave S & S Willow St,20,AM,0.3,0.1,6.9,5.2,2.1
232,60,I,40873,Corson Ave S & S Warsaw St,21,AM,0.2,0.2,6.8,3.3,3.2
232,60,I,40876,S Bailey St & Carleton Ave S,22,AM,0.1,0.2,6.9,2.3,2.8
232,60,I,41740,13th Ave S & S Bailey St,23,AM,0.4,0.4,6.9,5.7,6.6
232,60,I,41750,S Albro Pl & Stanley Ave S,24,AM,0.1,0,6.9,1.6,0.5
232,60,I,41760,Swift Ave S & 16th Ave S,25,AM,0.7,0.1,7.6,11.7,0.8
232,60,I,41780,15th Ave S & S Lucile St,26,AM,1.6,0.2,9,25.5,3.4
232,60,I,41800,15th Ave S & S Pearl St,27,AM,0.7,0.1,9.6,10.8,0.8
232,60,I,41805,15th Ave S & S Shelton St,28,AM,0.7,0.1,10.3,11.7,0.8
232,60,I,41819,15th Ave S & S Angeline St,29,AM,0.6,0.1,10.8,9.3,1.3
232,60,I,41830,15th Ave S & S Oregon St,30,AM,1,0.7,11.1,15.6,10.8
232,60,I,30510,15th Ave S & S Dakota St,31,AM,1.1,0.1,12.1,16.1,2.2
232,60,I,41850,15th Ave S & S Spokane St,32,AM,1.1,0,13.2,16.6,0.4
232,60,I,41870,15th Ave S & S Hanford St,33,AM,0.3,0,13.4,4,0.2
232,60,I,41880,15th Ave S & S Stevens St,34,AM,0.1,0.1,13.5,2.1,0.8
232,60,I,3470,Beacon Ave S & S Lander St,35,AM,4.1,4.5,13.1,61.5,67.4
232,60,I,3484,Beacon Ave S & 15th Ave S,36,AM,0.9,0.2,13.9,14,2.4
232,60,I,3500,14th Ave S & S Hill St,37,AM,0.5,0.2,14.2,7.6,3.1
232,60,I,3515,14th Ave S & S Holgate St,38,AM,0.5,0,14.7,7.8,0.6
232,60,I,3530,S Massachusetts St & 14th Ave S,39,AM,0.9,0.2,15.4,13.2,2.7
232,60,I,3541,12th Ave S & S Massachusetts St,40,AM,0.7,0.1,16.1,11.2,0.9
232,60,I,3550,12th Ave S & S Atlantic St,41,AM,0.5,0.1,16.5,7.4,0.8
232,60,I,3570,12th Ave S & S Judkins St,42,AM,0.2,0.4,16.3,3.2,6.2
232,60,I,3580,S Charles St & Golf Dr S,43,AM,0.9,0.1,17.4,12.2,1.4
232,60,I,3589,12th Ave S & S Weller St,44,AM,0.2,1.1,16.5,3,15.7
232,60,I,41900,12th Ave S & S Jackson St,45,AM,2.7,3.3,15.9,37.3,45.8
232,60,I,27420,Yesler & Broadway,46,AM,0.7,0.5,16.1,10.4,7.6
232,60,I,41930,9th Ave & Alder St,47,AM,0.7,6.5,10.4,10.1,90.9
232,60,I,41940,9th Ave & James St,48,AM,0.3,0.7,9.8,4,8.8
232,60,I,41950,9th Ave & Columbia St,49,AM,0.3,2.5,7.5,4,33
232,60,I,13291,Madison St & Boren Ave,50,AM,0.3,3.8,4.1,3.7,48.9
232,60,I,13292,Madison St & Summit Ave,51,AM,0,0.2,3.7,0.3,2.4
232,60,I,41965,Broadway & E Union St,52,AM,0.2,1.1,2.8,2.3,15.6
232,60,I,41970,Broadway & Pike-Pine,53,AM,0.2,1,2.1,2.5,14.3
232,60,I,11180,Broadway  E & E John St - Bay 3,54,AM,0.1,1.6,0.7,1.5,21.7
232,60,I,11190,Broadway  E & E Harrison St,55,AM,0.1,0.8,0,0.7,10.5
232,60,O,11191,10th Ave E & E Mercer St,1,AM,1.2,0,1.8,17.6,0
232,60,O,11040,Broadway  E & E Republican St,2,AM,2,0,3.7,29.7,0.3
232,60,O,11050,Broadway  E & E Thomas St,3,AM,1.7,0,5.4,26.2,0.5
232,60,O,11060,Broadway & E Denny Way - Bay 4,4,AM,4.5,0.2,9.8,67.8,2.3
232,60,O,11070,Broadway & E Pine St,5,AM,0.5,0.1,10.2,7.7,1.2
232,60,O,41980,Broadway & Pike-Pine,6,AM,1.1,0.3,11.1,17.2,3.8
232,60,O,41982,Broadway & E Union St,7,AM,0.6,0.6,11.4,7.7,7.7
232,60,O,13283,Madison St & Summit Ave,8,AM,0.7,1.8,10.4,10.3,25.6
232,60,O,13284,Madison St & Boren Ave,9,AM,0.7,1.3,9.7,9.6,18.3
232,60,O,41990,9th Ave & Marion St,10,AM,0.8,0.6,10,10.6,7.9
232,60,O,42000,9th Ave & Cherry St,11,AM,0.3,0.5,9.7,3.7,7.3
232,60,O,12910,9th Ave & Jefferson St,12,AM,1.3,3.6,7.3,17.9,50.9
232,60,O,42010,9th Ave & Alder St,13,AM,0.3,0.4,7.3,4.8,5.6
232,60,O,27500,Yesler & Broadway,14,AM,0.8,0.3,7.8,10.9,4.4
232,60,O,3700,12th Ave S & S Jackson St,15,AM,1.4,1.4,7.8,17.6,18.2
232,60,O,3710,12th Ave S & S Weller St,16,AM,0.3,0.7,7.3,3.8,8.8
232,60,O,3730,Golf Dr S & 14th Ave S,17,AM,0.1,0.8,6.7,1.8,9.8
232,60,O,3740,14th Ave S & S Judkins St,18,AM,0.4,0.1,7.1,5.7,1.2
232,60,O,3760,14th Ave S & S Massachusetts St,19,AM,1.2,0.2,8,15.3,3.2
232,60,O,3770,14th Ave S & S Holgate St,20,AM,0.4,0,8.3,4.8,0.5
232,60,O,3778,14th Ave S & S Hill St,21,AM,0.5,0.1,8.7,6.8,1.5
232,60,O,3800,Beacon Ave S & S Bayview St,22,AM,0.3,0.3,8.7,3.6,4.3
232,60,O,3810,Beacon Ave S & S Lander St,23,AM,4.3,2,10.9,55.7,26.6
232,60,O,42048,15th Ave S & S Stevens St,24,AM,0.3,0,11.1,3.3,0.4
232,60,O,42050,15th Ave S & S Hanford St,25,AM,0.1,0.1,11.1,1.2,1.6
232,60,O,42070,15th Ave S & S Spokane St,26,AM,0.2,0.3,11,2.2,3.6
232,60,O,30790,15th Ave S & S Dakota St,27,AM,0.2,0.3,11,2.6,3
232,60,O,30800,15th Ave S & S Nevada St,28,AM,0,0.1,11,0.2,0.7
232,60,O,42080,15th Ave S & S Oregon St,29,AM,0.3,2.2,9.1,3.3,25.9
232,60,O,42091,15th Ave S & S Angeline St,30,AM,0.1,0.1,9.1,0.9,1.3
232,60,O,42105,15th Ave S & S Shelton St,31,AM,0.1,0.3,8.8,0.6,3.9
232,60,O,42120,15th Ave S & S Dawson St,32,AM,0.2,0.2,8.8,2.5,2.8
232,60,O,42130,15th Ave S & S Lucile St,33,AM,0.1,1,7.9,0.8,11.6
232,60,O,42140,15th Ave S & S Orcas St,34,AM,0,0.4,7.5,0.5,4.7
232,60,O,41740,13th Ave S & S Bailey St,35,AM,0.5,1.6,6.4,6.2,19.5
232,60,O,46022,Ellis Ave S & S Warsaw St,36,AM,0.1,0.1,6.4,1.2,1.4
232,60,O,46025,Ellis Ave S & S Myrtle St,37,AM,0.2,0.4,6.2,2.5,4.4
232,60,O,79569,East Marginal Way S & S Webster St,38,AM,0.1,0.2,6.1,0.7,2.6
232,60,O,31660,16th Ave S & East Marginal Way S,39,AM,0,0.1,6,0.1,1
232,60,O,31670,14th Ave S & S Cloverdale St,40,AM,0.1,1.3,4.9,1.5,14
232,60,O,31680,S Cloverdale St & 12th Ave S,41,AM,0.5,0.2,5.1,5.2,2.5
232,60,O,31700,S Cloverdale St & 8th Ave S,42,AM,0.4,0.9,4.6,4.2,9.4
232,60,O,31720,S Cloverdale St & 5th Ave S,43,AM,0.6,1.1,4.2,6.9,12.1
232,60,O,21141,Olson-Myers Way Park And Ride,44,AM,1.2,0.6,4.7,12.8,6.1
232,60,O,21150,Olson Pl SW & 3rd Ave SW,45,AM,0.2,0,4.8,1.8,0.1
232,60,O,21170,SW Roxbury St & 5th Pl SW,46,AM,0.3,0.1,4.9,2.5,0.9
232,60,O,31560,SW Roxbury St & 8th Ave SW,47,AM,0.3,0.3,4.9,2.7,3.3
232,60,O,31580,SW Roxbury St & 12th Ave SW,48,AM,0,0.1,4.8,0.3,1.1
232,60,O,31590,SW Roxbury St & 15th Ave SW - Bay 4,49,AM,0.2,1.9,3.1,2,18.7
232,60,O,21310,Delridge Way SW & SW Cambridge St,50,AM,0.1,0.1,3.1,0.5,1.1
232,60,O,21320,Delridge Way SW & SW Barton St,51,AM,0,0.2,2.9,0.4,1.5
232,60,O,22184,Delridge Way SW & SW Henderson St,52,AM,0,0.3,2.7,0.3,3.3
232,60,O,39976,25th Ave SW & SW Trenton St,53,AM,0.1,2.7,0,0.6,26.9
232,60,I,39980,25th Ave SW & SW Henderson St,1,MID,1.8,0,2.3,52.7,0
232,60,I,39990,25th Ave SW & SW Barton St - Bay 4,2,MID,1.3,0,3.6,39.5,1.1
232,60,I,31736,SW Barton Pl & 22nd Ave SW,3,MID,0.1,0,3.6,2.7,0.9
232,60,I,22252,Delridge Way SW & SW Henderson St,4,MID,0.1,0.1,3.6,2.2,3.3
232,60,I,22253,Delridge Way SW & SW Barton St,5,MID,0.3,0.1,3.8,8.7,2.8
232,60,I,21080,SW Roxbury St & 15th Ave SW - Bay 3,6,MID,2.7,0.5,6,81.4,15.7
232,60,I,21090,SW Roxbury St & 12th Ave SW,7,MID,0.1,0.1,6.1,3.4,1.6
232,60,I,21110,SW Roxbury St & 8th Ave SW,8,MID,0.5,0.6,6,15.7,18.1
232,60,I,21120,SW Roxbury St & 5th Ave SW,9,MID,0.2,0.1,6,4.4,2.3
232,60,I,21140,Olson Pl SW & 3rd Ave SW,10,MID,0,0,6,1.4,0.6
232,60,I,21141,Olson-Myers Way Park And Ride,11,MID,0.8,1.2,5.6,22.3,33.4
232,60,I,32100,S Cloverdale St & 5th Ave S,12,MID,0.4,0.4,5.6,12,12
232,60,I,32120,S Cloverdale St & 8th Ave S,13,MID,0.4,0.5,5.5,12.6,14.6
232,60,I,32140,S Cloverdale St & 12th Ave S,14,MID,0.4,0.4,5.5,12.9,12.7
232,60,I,32150,14th Ave S & S Cloverdale St,15,MID,0.8,0.4,6,24.2,10.6
232,60,I,32160,16th Ave S & East Marginal Way S,16,MID,0.1,0.1,5.9,1.7,2.6
232,60,I,79561,East Marginal Way S & 14th Ave S,17,MID,0.1,0.1,5.9,2.9,4.1
232,60,I,45740,East Marginal Way S & Ellis Ave S,18,MID,0.1,0.1,6,3.6,2.5
232,60,I,45751,East Marginal Way S & Corson Ave S,19,MID,0,0,6,1.4,0.9
232,60,I,40871,Corson Ave S & S Willow St,20,MID,0.1,0.1,6,4.3,2.3
232,60,I,40873,Corson Ave S & S Warsaw St,21,MID,0.1,0.1,6.1,2.7,2.5
232,60,I,40876,S Bailey St & Carleton Ave S,22,MID,0.3,0.3,6.1,9,8.8
232,60,I,41740,13th Ave S & S Bailey St,23,MID,0.6,0.5,6.1,16.7,15.1
232,60,I,41750,S Albro Pl & Stanley Ave S,24,MID,0.1,0.1,6.1,3.2,2.2
232,60,I,41760,Swift Ave S & 16th Ave S,25,MID,0.4,0.1,6.5,13.4,1.5
232,60,I,41780,15th Ave S & S Lucile St,26,MID,1.5,0.2,7.9,45.9,6.2
232,60,I,41800,15th Ave S & S Pearl St,27,MID,0.3,0,8.1,9.6,1.3
232,60,I,41805,15th Ave S & S Shelton St,28,MID,0.4,0.1,8.4,11.7,2.9
232,60,I,41819,15th Ave S & S Angeline St,29,MID,0.3,0,8.7,8.2,1.1
232,60,I,41830,15th Ave S & S Oregon St,30,MID,1.3,0.6,9.4,39.9,16.6
232,60,I,30510,15th Ave S & S Dakota St,31,MID,0.6,0.2,9.8,19,5.4
232,60,I,41850,15th Ave S & S Spokane St,32,MID,0.8,0.1,10.5,23,2.5
232,60,I,41870,15th Ave S & S Hanford St,33,MID,0.1,0.1,10.5,4.1,1.6
232,60,I,41880,15th Ave S & S Stevens St,34,MID,0.1,0.1,10.5,2.9,3.3
232,60,I,3470,Beacon Ave S & S Lander St,35,MID,3.1,4.6,9,94.2,139.1
232,60,I,3484,Beacon Ave S & 15th Ave S,36,MID,1.8,0.8,10,55.1,25
232,60,I,3500,14th Ave S & S Hill St,37,MID,0.4,0.2,10.2,10.9,5
232,60,I,3515,14th Ave S & S Holgate St,38,MID,0.4,0.2,10.4,11.4,5.5
232,60,I,3530,S Massachusetts St & 14th Ave S,39,MID,0.7,0.6,10.5,21.5,18.2
232,60,I,3541,12th Ave S & S Massachusetts St,40,MID,0.7,0.2,11,22,7.3
232,60,I,3550,12th Ave S & S Atlantic St,41,MID,0.3,0.1,11.2,7.6,1.6
232,60,I,3570,12th Ave S & S Judkins St,42,MID,0.4,0.2,11.4,10.6,6.3
232,60,I,3580,S Charles St & Golf Dr S,43,MID,0.3,0,11.7,8.5,1
232,60,I,3589,12th Ave S & S Weller St,44,MID,0.6,1.2,11.1,18,34.5
232,60,I,41900,12th Ave S & S Jackson St,45,MID,3.3,3.2,11.2,98.4,96.1
232,60,I,27420,Yesler & Broadway,46,MID,0.8,0.9,11.2,25.4,25.6
232,60,I,41930,9th Ave & Alder St,47,MID,1.1,2.8,9.6,32.5,82.5
232,60,I,41940,9th Ave & James St,48,MID,0.6,0.6,9.7,19.2,19
232,60,I,41950,9th Ave & Columbia St,49,MID,0.6,1.3,9,17.7,41.8
232,60,I,13291,Madison St & Boren Ave,50,MID,0.9,2.8,6.9,26.9,84.7
232,60,I,13292,Madison St & Summit Ave,51,MID,0,0.1,6.9,0.2,4
232,60,I,41965,Broadway & E Union St,52,MID,0.4,1.6,5.7,11.1,47.4
232,60,I,41970,Broadway & Pike-Pine,53,MID,0.4,1.8,4.3,13.2,55.4
232,60,I,11180,Broadway  E & E John St - Bay 3,54,MID,0.3,2.8,1.8,8.2,84.6
232,60,I,11190,Broadway  E & E Harrison St,55,MID,0.1,1.8,0,2.2,54.6
232,60,O,11191,10th Ave E & E Mercer St,1,MID,0.5,0,1.3,13.9,0
232,60,O,11040,Broadway  E & E Republican St,2,MID,2.5,0.1,3.7,74.7,1.7
232,60,O,11050,Broadway  E & E Thomas St,3,MID,1.1,0.2,4.6,34.3,6.4
232,60,O,11060,Broadway & E Denny Way - Bay 4,4,MID,2.5,0.3,6.9,75,8.2
232,60,O,11070,Broadway & E Pine St,5,MID,0.6,0.2,7.3,18.5,5.1
232,60,O,41980,Broadway & Pike-Pine,6,MID,2,0.4,8.8,56.7,13
232,60,O,41982,Broadway & E Union St,7,MID,0.6,0.4,9,17.5,11.2
232,60,O,13283,Madison St & Summit Ave,8,MID,1.3,1.3,9.1,38.3,39.6
232,60,O,13284,Madison St & Boren Ave,9,MID,1.1,0.7,9.3,34.4,22.4
232,60,O,41990,9th Ave & Marion St,10,MID,0.9,0.8,9.4,27.8,25.1
232,60,O,42000,9th Ave & Cherry St,11,MID,0.3,0.5,9.3,9.7,14.3
232,60,O,12910,9th Ave & Jefferson St,12,MID,2.2,1.8,9.7,66.7,54.5
232,60,O,42010,9th Ave & Alder St,13,MID,0.9,0.4,10.1,26.8,12.9
232,60,O,27500,Yesler & Broadway,14,MID,0.7,0.7,10,21.1,19.9
232,60,O,3700,12th Ave S & S Jackson St,15,MID,2.2,3.3,8.9,67.3,98.2
232,60,O,3710,12th Ave S & S Weller St,16,MID,0.6,0.5,9.1,17.6,13.8
232,60,O,3730,Golf Dr S & 14th Ave S,17,MID,0.2,0.4,8.8,7.1,12.9
232,60,O,3740,14th Ave S & S Judkins St,18,MID,0.2,0.2,8.8,4.5,6.7
232,60,O,3760,14th Ave S & S Massachusetts St,19,MID,0.6,0.7,8.6,17.9,22.4
232,60,O,3770,14th Ave S & S Holgate St,20,MID,0.1,0.2,8.6,4.4,5.1
232,60,O,3778,14th Ave S & S Hill St,21,MID,0.2,0.2,8.5,4.7,6.8
232,60,O,3800,Beacon Ave S & S Bayview St,22,MID,0.5,1.4,7.7,16.3,40.6
232,60,O,3810,Beacon Ave S & S Lander St,23,MID,3.6,3.1,8.2,106.9,92.7
232,60,O,42048,15th Ave S & S Stevens St,24,MID,0.1,0.1,8.2,3.3,2.9
232,60,O,42050,15th Ave S & S Hanford St,25,MID,0,0.1,8.2,1,3.8
232,60,O,42070,15th Ave S & S Spokane St,26,MID,0.1,0.3,8,3.8,8.8
232,60,O,30790,15th Ave S & S Dakota St,27,MID,0.2,0.5,7.8,6,13.6
232,60,O,30800,15th Ave S & S Nevada St,28,MID,0,0.2,7.7,0.6,5.6
232,60,O,42080,15th Ave S & S Oregon St,29,MID,0.4,0.8,7.2,11.2,23.8
232,60,O,42091,15th Ave S & S Angeline St,30,MID,0.1,0.2,7.1,1.6,6.1
232,60,O,42105,15th Ave S & S Shelton St,31,MID,0.1,0.4,6.8,1.6,11
232,60,O,42120,15th Ave S & S Dawson St,32,MID,0.1,0.3,6.6,2.2,8.2
232,60,O,42130,15th Ave S & S Lucile St,33,MID,0.2,0.8,6,5.7,24.3
232,60,O,42140,15th Ave S & S Orcas St,34,MID,0.1,0.2,5.9,4,7.4
232,60,O,41740,13th Ave S & S Bailey St,35,MID,0.7,0.9,5.6,19,27.3
232,60,O,46022,Ellis Ave S & S Warsaw St,36,MID,0.1,0.2,5.5,3.8,5.8
232,60,O,46025,Ellis Ave S & S Myrtle St,37,MID,0.2,0.1,5.5,4.9,4.1
232,60,O,79569,East Marginal Way S & S Webster St,38,MID,0,0.1,5.5,0.9,3.2
