OPERATION_DATE,ROUTE_ID,DIRECTION,TRIP_ID,VEHICLE_ID,SCHED_DEPTIME,ACT_ARRTIME,ACT_DEPTIME,STOP_ORDER_NBR,STOP_ID,STOP,BOARDINGS,ALIGHTINGS
2025-10-01,513,North,25181,91903.0,15:05:00,15:05:13,15:05:13,0,2543,Lynnwood City Center Station Bay D4,2.0,0.0
2025-10-01,513,North,25181,91903.0,15:10:00,15:11:21,15:11:53,1,2163,Ash Way Park & Ride Bay 4,0.0,1.0
2025-10-01,513,North,25181,91903.0,15:24:00,15:23:28,15:23:51,2,2144,Eastmont Park & Ride Bay 1,1.0,0.0
2025-10-01,513,North,25181,91903.0,,15:31:44,15:32:16,3,1765,W Casino Rd & Evergreen Way,0.0,2.0
2025-10-01,513,North,25181,91903.0,15:45:00,15:37:48,15:37:48,4,3186,Seaway Transit Center Bay 6,0.0,0.0
2025-10-01,513,North,25182,19812.0,15:35:00,15:35:03,15:35:03,0,2543,Lynnwood City Center Station Bay D4,1.0,0.0
2025-10-01,513,North,25182,19812.0,15:41:00,15:40:44,15:41:00,1,2163,Ash Way Park & Ride Bay 4,1.0,0.0
2025-10-01,513,North,25182,19812.0,15:55:00,15:56:56,15:57:09,2,2144,Eastmont Park & Ride Bay 1,0.0,2.0
2025-10-01,513,North,25182,19812.0,,16:01:53,16:01:53,3,1765,W Casino Rd & Evergreen Way,0.0,0.0
2025-10-01,513,North,25182,19812.0,16:16:00,16:07:07,16:07:07,4,3186,Seaway Transit Center Bay 6,0.0,0.0
2025-10-01,513,North,25183,19817.0,16:05:00,16:04:55,16:04:55,0,2543,Lynnwood City Center Station Bay D4,3.0,0.0
2025-10-01,513,North,25183,19817.0,16:11:00,16:10:34,16:10:43,1,2163,Ash Way Park & Ride Bay 4,0.0,1.0
2025-10-01,513,North,25183,19817.0,16:27:00,16:31:19,16:31:31,2,2144,Eastmont Park & Ride Bay 1,0.0,1.0
2025-10-01,513,North,25183,19817.0,,16:37:46,16:37:46,3,1765,W Casino Rd & Evergreen Way,0.0,0.0
2025-10-01,513,North,25183,19817.0,16:48:00,16:43:32,16:43:32,4,3186,Seaway Transit Center Bay 6,0.0,1.0
2025-10-01,513,North,25184,91901.0,16:35:00,16:35:19,16:35:19,0,2543,Lynnwood City Center Station Bay D4,4.0,0.0
2025-10-01,513,North,25184,91901.0,16:41:00,16:41:54,16:42:19,1,2163,Ash Way Park & Ride Bay 4,2.0,1.0
2025-10-01,513,North,25184,91901.0,16:57:00,17:01:47,17:02:13,2,2144,Eastmont Park & Ride Bay 1,0.0,1.0
2025-10-01,513,North,25184,91901.0,,17:10:11,17:10:41,3,1765,W Casino Rd & Evergreen Way,0.0,4.0
2025-10-01,513,North,25184,91901.0,17:18:00,,,4,3186,Seaway Transit Center Bay 6,,
2025-10-01,513,North,25185,19811.0,17:10:00,17:10:05,17:10:05,0,2543,Lynnwood City Center Station Bay D4,16.0,0.0
2025-10-01,513,North,25185,19811.0,17:16:00,17:17:01,17:17:38,1,2163,Ash Way Park & Ride Bay 4,1.0,13.0
2025-10-01,513,North,25185,19811.0,17:32:00,17:39:28,17:39:43,2,2144,Eastmont Park & Ride Bay 1,0.0,1.0
2025-10-01,513,North,25185,19811.0,,17:47:53,17:48:16,3,1765,W Casino Rd & Evergreen Way,1.0,2.0
2025-10-01,513,North,25185,19811.0,17:53:00,17:53:00,17:53:00,4,3186,Seaway Transit Center Bay 6,1.0,3.0
