OPERATION_DATE,ROUTE_ID,DIRECTION,TRIP_ID,VEHICLE_ID,SCHED_DEPTIME,ACT_ARRTIME,ACT_DEPTIME,STOP_ORDER_NBR,STOP_ID,STOP,BOARDINGS,ALIGHTINGS
2023-10-01,112,North,11087,15106.0,09:55:00,09:55:08,09:55:08,0,3269,Mountlake Terrace Transit Center Bay 1,1.0,0.0
2023-10-01,112,North,11087,15106.0,,09:55:35,09:55:35,1,322,236th St SW & 58th Ave W,0.0,0.0
2023-10-01,112,North,11087,15106.0,,09:56:47,09:56:47,2,321,236th St SW & 56th Ave W,0.0,0.0
2023-10-01,112,North,11087,15106.0,,09:57:00,09:57:00,3,320,236th St SW & 54th Ave W,0.0,0.0
2023-10-01,112,North,11087,15106.0,,09:57:18,09:57:18,4,319,236th St SW & 52nd Ave W,0.0,0.0
2023-10-01,112,North,11087,15106.0,,09:57:30,09:57:30,5,324,236th St SW & 50th Ave W,0.0,0.0
2023-10-01,112,North,11087,15106.0,,09:58:05,09:58:19,6,318,236th St SW & 48th Ave W,1.0,0.0
2023-10-01,112,North,11087,15106.0,,09:59:30,09:59:30,7,842,Cedar Way & 236th St SW,0.0,0.0
2023-10-01,112,North,11087,15106.0,,09:59:54,09:59:54,8,844,Cedar Way & 232nd St SW,0.0,0.0
2023-10-01,112,North,11087,15106.0,,10:00:13,10:00:13,9,661,44th Ave W & 229th Pl SW,0.0,0.0
2023-10-01,112,North,11087,15106.0,09:59:00,10:00:31,10:00:31,10,655,44th Ave W & 228th St SW,0.0,0.0
2023-10-01,112,North,11087,15106.0,,10:00:44,10:00:44,11,654,44th Ave W & 226th St SW,0.0,0.0
2023-10-01,112,North,11087,15106.0,,10:01:00,10:01:00,12,660,44th Ave W & 224th St SW,0.0,0.0
2023-10-01,112,North,11087,15106.0,,10:01:14,10:01:14,13,659,44th Ave W & 223rd St SW,0.0,0.0
2023-10-01,112,North,11087,15106.0,,10:01:35,10:01:35,14,653,44th Ave W & 220th St SW,0.0,0.0
2023-10-01,112,North,11087,15106.0,,10:01:56,10:01:56,15,652,44th Ave W & Hawk Way,0.0,0.0
2023-10-01,112,North,11087,15106.0,,10:02:22,10:02:22,16,651,44th Ave W & 214th St SW,0.0,0.0
2023-10-01,112,North,11087,15106.0,,10:03:59,10:03:59,17,662,44th Ave W & 20800 Block,0.0,0.0
2023-10-01,112,North,11087,15106.0,10:10:00,10:07:30,10:10:07,18,2111,Lynnwood Transit Center Bay C3,1.0,1.0
2023-10-01,112,North,11087,15106.0,,10:11:38,10:11:38,19,2171,48th Ave W & 200th St SW,0.0,0.0
2023-10-01,112,North,11087,15106.0,,10:13:22,10:13:22,20,226,194th St SW & 48th Ave W,0.0,0.0
2023-10-01,112,North,11087,15106.0,,10:13:50,10:13:50,21,227,194th St SW & 44th Ave W,0.0,0.0
2023-10-01,112,North,11087,15106.0,,10:14:57,10:14:57,22,650,44th Ave W & 192nd St SW,0.0,0.0
2023-10-01,112,North,11087,15106.0,,10:15:27,10:15:27,23,649,44th Ave W & 188th St SW,0.0,0.0
2023-10-01,112,North,11087,15106.0,,10:16:01,10:16:01,24,648,44th Ave W & 184th St SW,0.0,0.0
2023-10-01,112,North,11087,15106.0,,10:16:20,10:16:20,25,656,44th Ave W & Maple Rd,0.0,0.0
2023-10-01,112,North,11087,15106.0,,10:16:41,10:16:41,26,647,44th Ave W & 179th St SW,0.0,0.0
2023-10-01,112,North,11087,15106.0,,10:16:57,10:16:57,27,658,44th Ave W & 176th St SW,0.0,0.0
2023-10-01,112,North,11087,15106.0,,10:17:16,10:17:16,28,646,44th Ave W & 174th Pl SW,0.0,0.0
2023-10-01,112,North,11087,15106.0,,10:17:34,10:17:34,29,645,44th Ave W & 172nd St SW,0.0,0.0
2023-10-01,112,North,11087,15106.0,,10:17:56,10:17:56,30,657,44th Ave W & Cobblestone Dr,0.0,0.0
2023-10-01,112,North,11087,15106.0,,10:19:31,10:19:41,31,195,164th St SW & Spruce Way,0.0,0.0
2023-10-01,112,North,11087,15106.0,,10:20:17,10:20:17,32,2872,164th St SW & 36th Ave W,0.0,0.0
2023-10-01,112,North,11087,15106.0,10:19:00,10:20:55,10:21:06,33,197,Swamp Creek Park & Ride Bay 2,1.0,0.0
2023-10-01,112,North,11087,15106.0,,10:21:39,10:22:04,34,189,164th St SW & Alderwood Mall Pkwy,3.0,0.0
2023-10-01,112,North,11087,15106.0,,10:23:32,10:23:42,35,2169,Ash Way & 164th St SW,0.0,1.0
2023-10-01,112,North,11087,15106.0,10:26:00,10:24:56,10:24:56,36,2981,Ash Way Park & Ride,0.0,5.0
2023-10-01,112,North,11088,19112.0,06:56:00,06:56:28,06:56:28,0,3269,Mountlake Terrace Transit Center Bay 1,0.0,0.0
2023-10-01,112,North,11088,19112.0,,06:57:00,06:57:00,1,322,236th St SW & 58th Ave W,0.0,0.0
2023-10-01,112,North,11088,19112.0,,06:57:43,06:57:43,2,321,236th St SW & 56th Ave W,0.0,0.0
2023-10-01,112,North,11088,19112.0,,06:57:56,06:57:56,3,320,236th St SW & 54th Ave W,0.0,0.0
2023-10-01,112,North,11088,19112.0,,06:58:12,06:58:12,4,319,236th St SW & 52nd Ave W,0.0,0.0
2023-10-01,112,North,11088,19112.0,,06:58:24,06:58:24,5,324,236th St SW & 50th Ave W,0.0,0.0
2023-10-01,112,North,11088,19112.0,,06:58:56,06:58:56,6,318,236th St SW & 48th Ave W,0.0,0.0
2023-10-01,112,North,11088,19112.0,,06:59:52,06:59:52,7,842,Cedar Way & 236th St SW,0.0,0.0
2023-10-01,112,North,11088,19112.0,,07:00:13,07:00:13,8,844,Cedar Way & 232nd St SW,0.0,0.0
2023-10-01,112,North,11088,19112.0,,07:00:32,07:00:32,9,661,44th Ave W & 229th Pl SW,0.0,0.0
2023-10-01,112,North,11088,19112.0,06:59:00,07:00:52,07:00:52,10,655,44th Ave W & 228th St SW,0.0,0.0
2023-10-01,112,North,11088,19112.0,,07:01:06,07:01:06,11,654,44th Ave W & 226th St SW,0.0,0.0
2023-10-01,112,North,11088,19112.0,,07:01:21,07:01:21,12,660,44th Ave W & 224th St SW,0.0,0.0
2023-10-01,112,North,11088,19112.0,,07:01:39,07:01:39,13,659,44th Ave W & 223rd St SW,0.0,0.0
2023-10-01,112,North,11088,19112.0,,07:01:59,07:01:59,14,653,44th Ave W & 220th St SW,0.0,0.0
2023-10-01,112,North,11088,19112.0,,07:02:20,07:02:20,15,652,44th Ave W & Hawk Way,0.0,0.0
2023-10-01,112,North,11088,19112.0,,07:02:55,07:03:07,16,651,44th Ave W & 214th St SW,1.0,0.0
2023-10-01,112,North,11088,19112.0,,07:04:38,07:04:38,17,662,44th Ave W & 20800 Block,0.0,0.0
2023-10-01,112,North,11088,19112.0,07:10:00,07:07:06,07:10:24,18,2111,Lynnwood Transit Center Bay C3,0.0,1.0
2023-10-01,112,North,11088,19112.0,,07:12:29,07:12:29,19,2171,48th Ave W & 200th St SW,0.0,0.0
2023-10-01,112,North,11088,19112.0,,07:13:48,07:13:59,20,226,194th St SW & 48th Ave W,2.0,0.0
2023-10-01,112,North,11088,19112.0,,07:14:34,07:14:34,21,227,194th St SW & 44th Ave W,0.0,0.0
2023-10-01,112,North,11088,19112.0,,07:15:21,07:15:21,22,650,44th Ave W & 192nd St SW,0.0,0.0
2023-10-01,112,North,11088,19112.0,,07:15:53,07:15:53,23,649,44th Ave W & 188th St SW,0.0,0.0
2023-10-01,112,North,11088,19112.0,,07:16:24,07:16:24,24,648,44th Ave W & 184th St SW,0.0,0.0
2023-10-01,112,North,11088,19112.0,,07:16:49,07:16:56,25,656,44th Ave W & Maple Rd,0.0,1.0
2023-10-01,112,North,11088,19112.0,,07:17:19,07:17:19,26,647,44th Ave W & 179th St SW,0.0,0.0
2023-10-01,112,North,11088,19112.0,,07:17:34,07:17:34,27,658,44th Ave W & 176th St SW,0.0,0.0
2023-10-01,112,North,11088,19112.0,,07:17:54,07:17:54,28,646,44th Ave W & 174th Pl SW,0.0,0.0
2023-10-01,112,North,11088,19112.0,,07:18:11,07:18:11,29,645,44th Ave W & 172nd St SW,0.0,0.0
2023-10-01,112,North,11088,19112.0,,07:18:35,07:18:35,30,657,44th Ave W & Cobblestone Dr,0.0,0.0
2023-10-01,112,North,11088,19112.0,,07:20:04,07:20:22,31,195,164th St SW & Spruce Way,1.0,0.0
2023-10-01,112,North,11088,19112.0,,07:20:43,07:20:43,32,2872,164th St SW & 36th Ave W,0.0,0.0
2023-10-01,112,North,11088,19112.0,07:17:00,07:21:11,07:21:11,33,197,Swamp Creek Park & Ride Bay 2,0.0,0.0
2023-10-01,112,North,11088,19112.0,,07:21:37,07:21:37,34,189,164th St SW & Alderwood Mall Pkwy,0.0,0.0
2023-10-01,112,North,11088,19112.0,,07:23:42,07:23:42,35,2169,Ash Way & 164th St SW,0.0,0.0
2023-10-01,112,North,11088,19112.0,07:23:00,07:25:05,07:25:05,36,2981,Ash Way Park & Ride,0.0,2.0
2023-10-01,112,North,11089,15112.0,07:56:00,07:56:15,07:56:15,0,3269,Mountlake Terrace Transit Center Bay 1,0.0,0.0
2023-10-01,112,North,11089,15112.0,,07:56:37,07:56:37,1,322,236th St SW & 58th Ave W,0.0,0.0
2023-10-01,112,North,11089,15112.0,,07:57:48,07:57:48,2,321,236th St SW & 56th Ave W,0.0,0.0
2023-10-01,112,North,11089,15112.0,,07:58:03,07:58:03,3,320,236th St SW & 54th Ave W,0.0,0.0
2023-10-01,112,North,11089,15112.0,,07:58:20,07:58:20,4,319,236th St SW & 52nd Ave W,0.0,0.0
2023-10-01,112,North,11089,15112.0,,07:58:31,07:58:31,5,324,236th St SW & 50th Ave W,0.0,0.0
2023-10-01,112,North,11089,15112.0,,07:59:13,07:59:28,6,318,236th St SW & 48th Ave W,1.0,0.0
2023-10-01,112,North,11089,15112.0,,08:00:27,08:00:27,7,842,Cedar Way & 236th St SW,0.0,0.0
2023-10-01,112,North,11089,15112.0,,08:00:48,08:00:48,8,844,Cedar Way & 232nd St SW,0.0,0.0
2023-10-01,112,North,11089,15112.0,,08:01:04,08:01:04,9,661,44th Ave W & 229th Pl SW,0.0,0.0
2023-10-01,112,North,11089,15112.0,07:59:00,08:01:26,08:01:36,10,655,44th Ave W & 228th St SW,0.0,1.0
2023-10-01,112,North,11089,15112.0,,08:01:54,08:01:54,11,654,44th Ave W & 226th St SW,0.0,0.0
2023-10-01,112,North,11089,15112.0,,08:02:10,08:02:10,12,660,44th Ave W & 224th St SW,0.0,0.0
2023-10-01,112,North,11089,15112.0,,08:02:22,08:02:22,13,659,44th Ave W & 223rd St SW,0.0,0.0
2023-10-01,112,North,11089,15112.0,,08:02:42,08:02:42,14,653,44th Ave W & 220th St SW,0.0,0.0
2023-10-01,112,North,11089,15112.0,,08:03:00,08:03:00,15,652,44th Ave W & Hawk Way,0.0,0.0
2023-10-01,112,North,11089,15112.0,,08:03:30,08:03:55,16,651,44th Ave W & 214th St SW,1.0,0.0
2023-10-01,112,North,11089,15112.0,,08:04:57,08:05:16,17,662,44th Ave W & 20800 Block,2.0,0.0
2023-10-01,112,North,11089,15112.0,08:10:00,08:07:54,08:08:21,18,2111,Lynnwood Transit Center Bay C3,1.0,2.0
2023-10-01,112,North,11089,15112.0,,08:10:03,08:10:03,19,2171,48th Ave W & 200th St SW,0.0,0.0
2023-10-01,112,North,11089,15112.0,,08:11:35,08:11:35,20,226,194th St SW & 48th Ave W,0.0,0.0
2023-10-01,112,North,11089,15112.0,,08:12:25,08:12:25,21,227,194th St SW & 44th Ave W,0.0,0.0
2023-10-01,112,North,11089,15112.0,,08:12:54,08:12:54,22,650,44th Ave W & 192nd St SW,0.0,0.0
2023-10-01,112,North,11089,15112.0,,08:13:24,08:13:24,23,649,44th Ave W & 188th St SW,0.0,0.0
2023-10-01,112,North,11089,15112.0,,08:13:51,08:13:51,24,648,44th Ave W & 184th St SW,0.0,0.0
2023-10-01,112,North,11089,15112.0,,08:14:12,08:14:12,25,656,44th Ave W & Maple Rd,0.0,0.0
2023-10-01,112,North,11089,15112.0,,08:14:29,08:14:29,26,647,44th Ave W & 179th St SW,0.0,0.0
2023-10-01,112,North,11089,15112.0,,08:14:48,08:14:59,27,658,44th Ave W & 176th St SW,0.0,1.0
2023-10-01,112,North,11089,15112.0,,08:15:21,08:15:21,28,646,44th Ave W & 174th Pl SW,0.0,0.0
2023-10-01,112,North,11089,15112.0,,08:15:55,08:15:55,29,645,44th Ave W & 172nd St SW,0.0,0.0
2023-10-01,112,North,11089,15112.0,,08:16:18,08:16:18,30,657,44th Ave W & Cobblestone Dr,0.0,0.0
2023-10-01,112,North,11089,15112.0,,08:17:40,08:17:40,31,195,164th St SW & Spruce Way,0.0,0.0
2023-10-01,112,North,11089,15112.0,,08:18:01,08:18:01,32,2872,164th St SW & 36th Ave W,0.0,0.0
2023-10-01,112,North,11089,15112.0,08:18:00,08:18:29,08:18:42,33,197,Swamp Creek Park & Ride Bay 2,0.0,1.0
2023-10-01,112,North,11089,15112.0,,08:19:31,08:19:31,34,189,164th St SW & Alderwood Mall Pkwy,0.0,0.0
2023-10-01,112,North,11089,15112.0,,08:20:43,08:20:43,35,2169,Ash Way & 164th St SW,0.0,0.0
2023-10-01,112,North,11089,15112.0,08:24:00,08:21:34,08:21:34,36,2981,Ash Way Park & Ride,0.0,0.0
2023-10-01,112,North,11090,19119.0,08:55:00,08:55:37,08:55:37,0,3269,Mountlake Terrace Transit Center Bay 1,0.0,0.0
2023-10-01,112,North,11090,19119.0,,08:56:10,08:56:10,1,322,236th St SW & 58th Ave W,0.0,0.0
2023-10-01,112,North,11090,19119.0,,08:56:51,08:57:03,2,321,236th St SW & 56th Ave W,1.0,0.0
2023-10-01,112,North,11090,19119.0,,08:57:22,08:57:22,3,320,236th St SW & 54th Ave W,0.0,0.0
2023-10-01,112,North,11090,19119.0,,08:57:41,08:57:41,4,319,236th St SW & 52nd Ave W,0.0,0.0
2023-10-01,112,North,11090,19119.0,,08:57:55,08:57:55,5,324,236th St SW & 50th Ave W,0.0,0.0
2023-10-01,112,North,11090,19119.0,,08:58:26,08:58:26,6,318,236th St SW & 48th Ave W,0.0,0.0
2023-10-01,112,North,11090,19119.0,,08:59:23,08:59:23,7,842,Cedar Way & 236th St SW,0.0,0.0
2023-10-01,112,North,11090,19119.0,,08:59:45,08:59:45,8,844,Cedar Way & 232nd St SW,0.0,0.0
2023-10-01,112,North,11090,19119.0,,09:00:03,09:00:03,9,661,44th Ave W & 229th Pl SW,0.0,0.0
2023-10-01,112,North,11090,19119.0,08:59:00,09:00:22,09:00:22,10,655,44th Ave W & 228th St SW,0.0,0.0
2023-10-01,112,North,11090,19119.0,,09:00:35,09:00:35,11,654,44th Ave W & 226th St SW,0.0,0.0
2023-10-01,112,North,11090,19119.0,,09:00:49,09:00:49,12,660,44th Ave W & 224th St SW,0.0,0.0
2023-10-01,112,North,11090,19119.0,,09:01:09,09:01:21,13,659,44th Ave W & 223rd St SW,2.0,0.0
2023-10-01,112,North,11090,19119.0,,09:01:47,09:01:47,14,653,44th Ave W & 220th St SW,0.0,0.0
2023-10-01,112,North,11090,19119.0,,09:02:07,09:02:07,15,652,44th Ave W & Hawk Way,0.0,0.0
2023-10-01,112,North,11090,19119.0,,09:02:37,09:02:37,16,651,44th Ave W & 214th St SW,0.0,0.0
2023-10-01,112,North,11090,19119.0,,09:03:25,09:03:25,17,662,44th Ave W & 20800 Block,0.0,0.0
2023-10-01,112,North,11090,19119.0,09:10:00,09:07:02,09:07:11,18,2111,Lynnwood Transit Center Bay C3,0.0,1.0
2023-10-01,112,North,11090,19119.0,,09:08:33,09:08:33,19,2171,48th Ave W & 200th St SW,0.0,0.0
2023-10-01,112,North,11090,19119.0,,09:09:55,09:09:55,20,226,194th St SW & 48th Ave W,0.0,0.0
2023-10-01,112,North,11090,19119.0,,09:10:31,09:10:31,21,227,194th St SW & 44th Ave W,0.0,0.0
2023-10-01,112,North,11090,19119.0,,09:11:30,09:11:30,22,650,44th Ave W & 192nd St SW,0.0,0.0
2023-10-01,112,North,11090,19119.0,,09:12:11,09:12:39,23,649,44th Ave W & 188th St SW,1.0,0.0
2023-10-01,112,North,11090,19119.0,,09:13:23,09:13:39,24,648,44th Ave W & 184th St SW,2.0,0.0
2023-10-01,112,North,11090,19119.0,,09:14:06,09:14:06,25,656,44th Ave W & Maple Rd,0.0,0.0
2023-10-01,112,North,11090,19119.0,,09:14:27,09:14:27,26,647,44th Ave W & 179th St SW,0.0,0.0
2023-10-01,112,North,11090,19119.0,,09:14:45,09:14:45,27,658,44th Ave W & 176th St SW,0.0,0.0
2023-10-01,112,North,11090,19119.0,,09:15:12,09:15:28,28,646,44th Ave W & 174th Pl SW,0.0,2.0
2023-10-01,112,North,11090,19119.0,,09:15:50,09:15:50,29,645,44th Ave W & 172nd St SW,0.0,0.0
2023-10-01,112,North,11090,19119.0,,09:16:15,09:16:15,30,657,44th Ave W & Cobblestone Dr,0.0,0.0
2023-10-01,112,North,11090,19119.0,,09:17:41,09:17:41,31,195,164th St SW & Spruce Way,0.0,0.0
2023-10-01,112,North,11090,19119.0,,09:18:51,09:19:09,32,2872,164th St SW & 36th Ave W,1.0,0.0
2023-10-01,112,North,11090,19119.0,09:19:00,09:19:58,09:20:16,33,197,Swamp Creek Park & Ride Bay 2,0.0,1.0
2023-10-01,112,North,11090,19119.0,,09:20:47,09:20:47,34,189,164th St SW & Alderwood Mall Pkwy,0.0,0.0
2023-10-01,112,North,11090,19119.0,,09:22:08,09:22:08,35,2169,Ash Way & 164th St SW,0.0,0.0
2023-10-01,112,North,11090,19119.0,09:26:00,09:23:37,09:23:37,36,2981,Ash Way Park & Ride,0.0,3.0
2023-10-01,112,North,11091,17109.0,10:55:00,10:55:31,10:55:31,0,3269,Mountlake Terrace Transit Center Bay 1,1.0,0.0
2023-10-01,112,North,11091,17109.0,,10:56:51,10:56:51,1,322,236th St SW & 58th Ave W,0.0,0.0
2023-10-01,112,North,11091,17109.0,,10:57:51,10:57:51,2,321,236th St SW & 56th Ave W,0.0,0.0
2023-10-01,112,North,11091,17109.0,,10:58:04,10:58:04,3,320,236th St SW & 54th Ave W,0.0,0.0
2023-10-01,112,North,11091,17109.0,,10:58:20,10:58:20,4,319,236th St SW & 52nd Ave W,0.0,0.0
2023-10-01,112,North,11091,17109.0,,10:58:31,10:58:31,5,324,236th St SW & 50th Ave W,0.0,0.0
2023-10-01,112,North,11091,17109.0,,10:59:06,10:59:06,6,318,236th St SW & 48th Ave W,0.0,0.0
2023-10-01,112,North,11091,17109.0,,11:00:10,11:00:10,7,842,Cedar Way & 236th St SW,0.0,0.0
2023-10-01,112,North,11091,17109.0,,11:00:30,11:00:30,8,844,Cedar Way & 232nd St SW,0.0,0.0
2023-10-01,112,North,11091,17109.0,,11:00:47,11:00:47,9,661,44th Ave W & 229th Pl SW,0.0,0.0
2023-10-01,112,North,11091,17109.0,10:59:00,11:01:08,11:01:08,10,655,44th Ave W & 228th St SW,0.0,0.0
2023-10-01,112,North,11091,17109.0,,11:01:20,11:01:20,11,654,44th Ave W & 226th St SW,0.0,0.0
2023-10-01,112,North,11091,17109.0,,11:01:34,11:01:34,12,660,44th Ave W & 224th St SW,0.0,0.0
2023-10-01,112,North,11091,17109.0,,11:01:47,11:01:47,13,659,44th Ave W & 223rd St SW,0.0,0.0
2023-10-01,112,North,11091,17109.0,,11:02:07,11:02:07,14,653,44th Ave W & 220th St SW,0.0,0.0
2023-10-01,112,North,11091,17109.0,,11:02:35,11:02:55,15,652,44th Ave W & Hawk Way,1.0,0.0
2023-10-01,112,North,11091,17109.0,,11:03:34,11:03:53,16,651,44th Ave W & 214th St SW,2.0,0.0
2023-10-01,112,North,11091,17109.0,,11:04:45,11:04:45,17,662,44th Ave W & 20800 Block,0.0,0.0
2023-10-01,112,North,11091,17109.0,11:10:00,11:10:25,11:10:52,18,2111,Lynnwood Transit Center Bay C3,0.0,2.0
2023-10-01,112,North,11091,17109.0,,11:12:15,11:12:15,19,2171,48th Ave W & 200th St SW,0.0,0.0
2023-10-01,112,North,11091,17109.0,,11:13:44,11:13:44,20,226,194th St SW & 48th Ave W,0.0,0.0
2023-10-01,112,North,11091,17109.0,,11:14:20,11:14:20,21,227,194th St SW & 44th Ave W,0.0,0.0
2023-10-01,112,North,11091,17109.0,,11:14:47,11:14:47,22,650,44th Ave W & 192nd St SW,0.0,0.0
2023-10-01,112,North,11091,17109.0,,11:15:46,11:15:46,23,649,44th Ave W & 188th St SW,0.0,0.0
2023-10-01,112,North,11091,17109.0,,11:16:16,11:16:16,24,648,44th Ave W & 184th St SW,0.0,0.0
2023-10-01,112,North,11091,17109.0,,11:16:39,11:17:14,25,656,44th Ave W & Maple Rd,2.0,0.0
2023-10-01,112,North,11091,17109.0,,11:17:39,11:17:39,26,647,44th Ave W & 179th St SW,0.0,0.0
2023-10-01,112,North,11091,17109.0,,11:17:55,11:17:55,27,658,44th Ave W & 176th St SW,0.0,0.0
2023-10-01,112,North,11091,17109.0,,11:18:19,11:18:29,28,646,44th Ave W & 174th Pl SW,0.0,1.0
2023-10-01,112,North,11091,17109.0,,11:18:51,11:18:51,29,645,44th Ave W & 172nd St SW,0.0,0.0
2023-10-01,112,North,11091,17109.0,,11:19:14,11:19:14,30,657,44th Ave W & Cobblestone Dr,0.0,0.0
2023-10-01,112,North,11091,17109.0,,11:20:34,11:20:34,31,195,164th St SW & Spruce Way,0.0,0.0
2023-10-01,112,North,11091,17109.0,,11:20:49,11:20:49,32,2872,164th St SW & 36th Ave W,0.0,0.0
2023-10-01,112,North,11091,17109.0,11:19:00,11:21:13,11:21:13,33,197,Swamp Creek Park & Ride Bay 2,0.0,0.0
2023-10-01,112,North,11091,17109.0,,11:23:01,11:23:01,34,189,164th St SW & Alderwood Mall Pkwy,0.0,0.0
2023-10-01,112,North,11091,17109.0,,11:24:36,11:24:36,35,2169,Ash Way & 164th St SW,0.0,0.0
