serviceChangeNum,routeNum,direction,stopId,stopName,stopOrderNum,timeOfDay,tripBoardings,tripAlightings,departingLoad,dailyBoardings,dailyAlightings
2510,512,I,2543,Lynnwood City Center Station Bay D4,0,AM,4.890,0.000,4.890,71.217,0.000
2510,512,I,2163,Ash Way Park & Ride Bay 4,1,AM,0.535,0.646,4.866,7.304,8.826
2510,512,I,2869,South Everett Fwy Station Bay 6,2,AM,0.356,1.163,4.054,4.826,15.783
2510,512,I,3219,Broadway & 33rd St,3,AM,0.007,0.885,3.167,0.087,11.043
2510,512,I,2861,Everett Station,4,AM,0.003,3.122,0.000,0.043,39.087
2510,512,I,3219,Broadway & 33rd St,3,MID,0.007,0.623,4.006,0.174,14.609
2510,512,I,2861,Everett Station,4,MID,0.007,4.039,-0.002,0.174,94.652
2510,512,I,2163,Ash Way Park & Ride Bay 4,1,MID,0.662,1.280,6.075,16.043,31.000
2510,512,I,2869,South Everett Fwy Station Bay 6,2,MID,0.378,1.918,4.584,8.652,43.957
2510,512,I,2543,Lynnwood City Center Station Bay D4,0,MID,6.868,0.000,6.868,158.565,0.000
2510,512,I,2869,South Everett Fwy Station Bay 6,2,PM,0.278,2.496,4.669,4.261,38.304
2510,512,I,3219,Broadway & 33rd St,3,PM,0.009,0.618,4.133,0.130,9.304
2510,512,I,2861,Everett Station,4,PM,0.099,4.262,-0.015,1.478,63.565
2510,512,I,2543,Lynnwood City Center Station Bay D4,0,PM,11.357,0.000,11.357,175.783,0.000
2510,512,I,2163,Ash Way Park & Ride Bay 4,1,PM,0.642,5.217,6.731,10.043,81.652
2510,512,I,3219,Broadway & 33rd St,3,XEV,0.004,0.487,2.361,0.043,5.565
2510,512,I,2861,Everett Station,4,XEV,0.122,2.476,0.000,1.435,29.174
2510,512,I,2869,South Everett Fwy Station Bay 6,2,XEV,0.131,2.295,2.815,1.565,27.435
2510,512,I,2543,Lynnwood City Center Station Bay D4,0,XEV,6.625,0.000,6.625,79.217,0.000
2510,512,I,2163,Ash Way Park & Ride Bay 4,1,XEV,0.510,2.241,5.028,5.609,24.652
2510,512,I,3219,Broadway & 33rd St,3,XNT,0.004,0.877,3.311,0.043,8.696
2510,512,I,2861,Everett Station,4,XNT,0.054,2.359,-0.152,0.217,9.435
