serviceChangeNum,routeNum,direction,stopId,stopName,stopOrderNum,timeOfDay,tripBoardings,tripAlightings,departingLoad,dailyBoardings,dailyAlightings
251,177,I,83751,Fed Way/320th Street P&R - Bay 1,1,AM,1.6,0,1.5,6.2,0.1
251,177,I,85540,Federal Way Downtown Station - Bay 10,2,AM,15.4,0.2,16.8,61.6,0.6
251,177,I,80462,S 317th St & 26th Ave S,3,AM,0.5,0,17.2,1.8,0
251,177,I,99252,SODO Busway & S Spokane St,5,AM,0.4,1,14.7,1.8,4.8
251,177,I,99254,SODO Busway & S Lander St,6,AM,0.5,1.4,13.8,2.6,6.9
251,177,I,99264,SODO Busway & S Holgate St,7,AM,0.1,0.6,13.4,0.6,2.8
251,177,I,99267,SODO Busway & S Royal Brougham Way,8,AM,0.3,0.8,12.9,1.6,4.2
251,177,I,30635,4th Ave S & S Royal Brougham Way,9,AM,0,0,12.9,0.2,0
251,177,I,620,4th Ave S & S Jackson St,10,AM,1.5,4.7,9.7,7.7,23.6
251,177,I,640,4th Ave & James St,11,AM,0.1,3.9,5.9,0.5,19.6
251,177,I,660,4th Ave & Madison St,12,AM,0.1,3.1,2.8,0.3,15.7
251,177,I,700,4th Ave & Pike St,13,AM,0,1.5,1.4,0,7.5
251,177,I,1040,Olive Way & 6th Ave,14,AM,0,0.6,0.8,0,2.9
251,177,I,992,Howell St & 9th Ave,15,AM,0,0.6,0.1,0,3.1
251,177,I,1010,Howell St & Minor Ave,16,AM,0,0.1,0,0.1,0.7
251,177,O,250,2nd Ave & Bell St,1,PM,1.3,0,1.3,5,0
251,177,O,260,2nd Ave & Lenora St,2,PM,0.7,0,1.9,2.6,0.1
251,177,O,300,2nd Ave & Pike St,3,PM,5.3,0.1,7.1,21.2,0.5
251,177,O,340,2nd Ave & Marion St,4,PM,5.6,0.1,12.6,22.5,0.4
251,177,O,361,2nd Ave & James St,5,PM,2.5,0.2,15,10.1,0.6
251,177,O,390,2nd Ave Ext S & S Jackson St,6,PM,3.6,2,16.6,14.3,8.1
251,177,O,99271,SODO Busway & S Royal Brougham Way,7,PM,0.7,0.2,17,2.6,0.6
251,177,O,99266,SODO Busway & S Holgate St,8,PM,0.3,0.2,17.2,1.2,0.7
251,177,O,99263,SODO Busway & S Lander St,9,PM,1.3,0.3,18.2,5.1,1
251,177,O,99253,SODO Busway & S Spokane St,10,PM,0.8,0.2,18.8,3.3,0.9
251,177,O,80458,S 317th St & 26th Ave S,11,PM,0,1.4,17.4,0.1,5.7
251,177,O,85541,Federal Way Downtown Station - Bay 11,12,PM,0.1,16.6,1.2,0.3,66.3
251,177,O,83752,Fed Way/320th Street P&R - Bay 2,13,PM,0.4,1.9,0,1.4,7.7
251,177,I,83751,Fed Way/320th Street P&R - Bay 1,1,XNT,1,0,1,1,0
251,177,I,85540,Federal Way Downtown Station - Bay 10,2,XNT,6.2,0.1,7.1,6.2,0.1
251,177,I,80462,S 317th St & 26th Ave S,3,XNT,0.2,0,7.3,0.2,0
251,177,I,47972,I-5 & S 272nd St - Bay 5,4,XNT,0.5,0,7.7,0.5,0
