serviceChangeNum,routeNum,direction,stopId,stopName,stopOrderNum,timeOfDay,tripBoardings,tripAlightings,departingLoad,dailyBoardings,dailyAlightings
253,168,I,62079,SE 264th St & 242nd Ave SE,1,AM,1.4,0,1.4,11.5,0
253,168,I,62081,SE Kent-Kangley Rd & Maple Vally - Black Diamond Rd SE,2,AM,0.6,0,2,4.6,0.2
253,168,I,62083,SE Kent-Kangley Rd & 235th Ave SE,3,AM,0,0,2,0.2,0
253,168,I,99483,SE 272nd St & 228th Ave SE,4,AM,0.2,0,2.2,1.9,0
253,168,I,62085,SE 272nd St & Witte Rd SE,5,AM,0.3,0,2.5,2,0.1
253,168,I,62089,SE 272nd St & 213th Pl SE,6,AM,0.5,0,3,4.1,0
253,168,I,62331,SE 272nd St & 209th Ave SE,7,AM,0,0,3,0,0
253,168,I,62094,SE 272nd St & 204th Ave SE,8,AM,0.2,0,3.2,1.6,0
253,168,I,62096,SE 272nd St & 201st Ave SE,9,AM,0.1,0,3.3,1.1,0
253,168,I,62097,SE 272nd St & 195th Ave SE,10,AM,0.1,0,3.4,0.5,0
253,168,I,62100,192nd Ave SE & SE 272nd St,11,AM,0.2,0,3.6,1.8,0
253,168,I,62102,192nd Ave SE & SE 269th St,12,AM,0.1,0,3.6,0.6,0
253,168,I,62104,Timberlane Way SE & SE 267th St,13,AM,0.4,0,4,2.9,0
253,168,I,62106,Timberlane Way SE & SE 265th St,14,AM,0.2,0,4.1,1.3,0
253,168,I,62108,Timberlane Way SE & Timberlane Dr SE,15,AM,0.2,0,4.2,1.1,0
253,168,I,62112,SE Timberlane Blvd & Timberlane Way SE,16,AM,0.2,0,4.5,1.7,0
253,168,I,62114,SE 262nd Pl & 184th Ave SE,17,AM,0.1,0,4.5,0.6,0
253,168,I,62116,SE 262nd Pl & 180th Ave SE,18,AM,0.5,0.1,5,3.8,0.5
253,168,I,62117,180th Ave SE & SE 266th Pl,19,AM,0,0.1,5,0.2,0.4
253,168,I,62133,SE Wax Rd & SE 272nd St,20,AM,0.1,0.1,5,1,1
253,168,I,62151,SE 272nd St & 172nd Ave SE,21,AM,0.9,0.2,5.7,6,1.1
253,168,I,62157,SE 272nd St & 169th Pl SE,22,AM,0.7,0.3,6.1,5,2.1
253,168,I,62139,SE 272nd St & 164th Ave SE,23,AM,0.6,0.1,6.4,4.8,0.5
253,168,I,62142,SE 272nd St & 156th Ave SE,24,AM,0,0,6.4,0,0
253,168,I,62144,SE 272nd St & 152nd Way SE,25,AM,0.6,0,7,5.1,0.1
253,168,I,62287,SE 272nd St & 150th Pl SE,26,AM,2,0.1,8.9,16.2,0.7
253,168,I,62159,SE 272nd St & 144th Ave SE,27,AM,0.5,0,9.4,4,0
253,168,I,60494,SE 272nd St & 137th Ave SE,28,AM,0.2,0,9.6,1.4,0.2
253,168,I,60459,Kent Kangley Rd & 132nd Ave SE,29,AM,1.2,1.4,9.4,9.5,10.9
253,168,I,60461,Kent Kangley Rd & 127th Ave SE,30,AM,0.1,0.1,9.4,0.8,0.7
253,168,I,60463,Kent Kangley Rd & 124th Ave SE,31,AM,0.1,0,9.5,0.8,0.2
253,168,I,60465,Kent Kangley Rd & 116th Ave SE,32,AM,1.9,0.2,11.1,15.2,1.8
253,168,I,57201,Kent Kangley Rd & 114th Ave SE,33,AM,0,0,11.2,0.1,0
253,168,I,57202,Kent Kangley Rd & 114th Ave SE,34,AM,0.1,0,11.2,0.4,0
253,168,I,60467,Kent Kangley Rd & 111th Ave SE,35,AM,3.9,0.4,14.7,31,2.9
253,168,I,60469,Kent Kangley Rd & 108th Ave SE,36,AM,0.5,0.5,14.7,4.2,3.8
253,168,I,62198,SE 256th St & 101st Ave SE,37,AM,1.3,4.5,11.6,10.6,35.7
253,168,I,62202,Canyon Dr SE & S 252nd St,38,AM,0.3,0,11.9,2.4,0.3
253,168,I,62204,Canyon Dr SE & 94th Ave S,39,AM,0.4,0,12.3,3.4,0.2
253,168,I,62208,Canyon Dr SE & Alvord Ave,40,AM,0.4,0,12.7,3.4,0.1
253,168,I,62212,E Smith St & Jason Ave N,41,AM,0,0.2,12.6,0.3,1.5
253,168,I,62213,E Smith St & State Ave N,42,AM,0,0.6,12,0.2,4.7
253,168,I,57452,Kent Sounder Station - Bay 2,43,AM,0,11.9,0,0,83.1
253,168,O,57453,Kent Sounder Station - Bay 3,1,AM,7.3,0,7.3,51.3,0
253,168,O,62216,State Ave N & E Smith St,2,AM,0.5,0.1,7.7,3.3,0.9
253,168,O,62220,Canyon Dr SE & E Titus St,3,AM,0.4,0.1,8,2.7,0.5
253,168,O,62228,Canyon Dr SE & 94th Ave S,4,AM,0.4,0.1,8.3,3,0.5
253,168,O,62230,Canyon Dr SE & S 252nd St,5,AM,0.2,0,8.4,1.1,0.3
253,168,O,62234,SE 256th St & 101st Ave SE,6,AM,2.2,3.3,7.4,15.7,22.8
253,168,O,60471,Kent Kangley Rd & 108th Ave SE,7,AM,0.6,0.3,7.7,4.1,2
253,168,O,60473,Kent Kangley Rd & 111th Ave SE,8,AM,0.7,1.1,7.2,4.8,7.9
253,168,O,60479,Kent Kangley Rd & 116th Ave SE,9,AM,0.6,0.3,7.5,4.2,2.2
253,168,O,60477,Kent Kangley Rd & 124th Ave SE,10,AM,0.1,0.2,7.4,0.7,1.1
253,168,O,60475,Kent Kangley Rd & 127th Ave SE,11,AM,0,0,7.5,0.2,0.1
253,168,O,60480,Kent Kangley Rd & 132nd Ave SE,12,AM,1.5,1.8,7.2,10.7,12.4
253,168,O,60489,SE 272nd St & 132nd Ave SE,13,AM,0.1,0,7.3,0.6,0.3
253,168,O,60491,SE 272nd St & 137th Ave SE,14,AM,0,0.1,7.2,0.3,1
253,168,O,60485,SE 272nd St & 144th Ave SE,15,AM,0,0.2,7,0.2,1.3
253,168,O,60490,SE 272nd St & 150th Pl SE,16,AM,0.3,0.4,6.9,2.1,2.9
253,168,O,62288,SE 272nd St & 152nd Ave SE,17,AM,0.3,0.2,7,1.9,1.5
253,168,O,62290,SE 272nd St & 156th Ave SE,18,AM,0,0,7,0,0
253,168,O,62294,SE 272nd St & 164th Ave SE,19,AM,0.1,0.5,6.5,0.6,3.6
253,168,O,62299,SE 272nd St & 169th Pl SE,20,AM,0.2,1.2,5.5,1.4,8.3
253,168,O,62293,SE 272nd St & 172nd Ave SE,21,AM,0.2,0.7,5,1.1,5.1
253,168,O,62301,SE Wax Rd & 176th Pl SE,22,AM,0.1,1,4.1,0.9,7.2
253,168,O,62303,180th Ave SE & SE 267th Pl,23,AM,0.1,0,4,0.4,0
253,168,O,62316,SE 262nd Pl & 180th Ave SE,24,AM,0,0.4,3.7,0.1,2.2
253,168,O,62318,SE 262nd Pl & 184th Ave SE,25,AM,0.1,0,3.7,0.3,0
253,168,O,62320,SE Timberlane Blvd & Timberlane Way SE,26,AM,0.1,0,3.8,0.4,0
253,168,O,62324,Timberlane Way SE & Timberlane Dr SE,27,AM,0.1,0,3.9,0.5,0.1
253,168,O,62326,Timberlane Way SE & SE 265th St,28,AM,0,0,3.9,0.2,0.1
253,168,O,62328,192nd Ave SE & SE 267th St,29,AM,0.3,0.2,4,1.6,1.2
253,168,O,62332,192nd Ave SE & SE 270th Pl,30,AM,0,0.2,3.8,0,1.2
253,168,O,62307,SE 272nd St & 201st Ave SE,31,AM,0.2,0.2,3.8,1,1
253,168,O,62309,SE 272nd St & 204th Ave SE,32,AM,0,0,3.8,0.1,0
253,168,O,62333,SE 272nd St & 207th Ave SE,33,AM,0,0,3.8,0,0
253,168,O,62313,SE 272nd St & 213th Pl SE,34,AM,0.1,0.4,3.6,0.8,2.1
253,168,O,62317,SE 272nd St & 228th Ave SE,35,AM,0,0.5,3.1,0.1,3
253,168,O,62319,SE Kent-Kangley Rd & 235th Ave SE,36,AM,0,0.1,3,0,0.3
253,168,O,99294,Maple Vally - Black Diamond Rd SE & SE Kent-Kangley Rd,37,AM,0,1.1,1.9,0.1,6.7
253,168,O,62079,SE 264th St & 242nd Ave SE,38,AM,0,1.9,0,0,11.4
253,168,I,62079,SE 264th St & 242nd Ave SE,1,MID,2.4,0,2.4,28.4,0
253,168,I,62081,SE Kent-Kangley Rd & Maple Vally - Black Diamond Rd SE,2,MID,1.3,0,3.6,15.2,0.2
253,168,I,62083,SE Kent-Kangley Rd & 235th Ave SE,3,MID,0,0,3.7,0.5,0
