serviceChangeNum,routeNum,direction,stopId,stopName,stopOrderNum,timeOfDay,tripBoardings,tripAlightings,departingLoad,dailyBoardings,dailyAlightings
2510,907,I,3445,Paine Field Passenger Terminal,0,MID,0.935,0.000,0.935,1.870,0.000
2510,907,I,3161,Airport Rd & 94th St SW,1,MID,0.022,0.000,0.957,0.043,0.000
2510,907,I,3145,Airport Rd & Kasch Park Rd,2,MID,0.043,0.000,1.000,0.087,0.000
2510,907,I,3184,Seaway Transit Center Bay 2,3,MID,3.674,0.065,4.609,7.348,0.130
2510,907,I,2364,Broadway & 38th St,4,MID,0.111,0.000,4.259,0.130,0.000
2510,907,I,3219,Broadway & 33rd St,5,MID,0.000,0.000,4.417,0.000,0.000
2510,907,I,2341,Everett Station Bay B1,6,MID,1.087,1.174,4.478,1.087,1.174
2510,907,I,3006,Cedar St & Hewitt Ave,7,MID,0.130,0.000,4.609,0.130,0.000
2510,907,I,905,I-5 & 4th St Flyer Stop,8,MID,0.000,1.385,2.846,0.000,0.783
2510,907,I,904,I-5 & 116th St NE Flyer Stop,9,MID,0.000,0.000,2.200,0.000,0.000
2510,907,I,956,Smokey Point Blvd & 172nd St NE,10,PM,0.000,0.297,1.604,0.000,1.174
2510,907,I,2460,Smokey Point Blvd & 174th Pl NE,11,PM,0.022,0.582,1.044,0.087,2.304
2510,907,I,953,Smokey Point Blvd & 177th Pl NE,12,PM,0.000,0.769,0.275,0.000,3.043
2510,907,I,958,Smokey Point Blvd & 183rd Pl NE,13,PM,0.000,0.132,0.143,0.000,0.522
2510,907,I,2530,Smokey Point Blvd & 186th Pl NE,14,PM,0.000,0.088,0.055,0.000,0.348
2510,907,I,929,Stanwood I-5 Park & Ride Bay 2,16,PM,0.011,0.066,0.000,0.043,0.261
2510,907,I,2364,Broadway & 38th St,4,PM,0.062,0.016,4.359,0.174,0.043
2510,907,I,3219,Broadway & 33rd St,5,PM,0.106,0.000,4.409,0.304,0.000
2510,907,I,2341,Everett Station Bay B1,6,PM,0.537,1.090,3.806,1.565,3.174
2510,907,I,3006,Cedar St & Hewitt Ave,7,PM,0.118,0.338,3.588,0.348,1.000
2510,907,I,905,I-5 & 4th St Flyer Stop,8,PM,0.090,1.846,2.026,0.304,6.261
2510,907,I,904,I-5 & 116th St NE Flyer Stop,9,PM,0.047,0.302,1.884,0.174,1.130
2510,907,I,3445,Paine Field Passenger Terminal,0,PM,0.622,0.000,0.622,1.217,0.000
2510,907,I,3161,Airport Rd & 94th St SW,1,PM,0.044,0.022,0.644,0.087,0.043
2510,907,I,3145,Airport Rd & Kasch Park Rd,2,PM,0.111,0.000,0.756,0.217,0.000
2510,907,I,3184,Seaway Transit Center Bay 2,3,PM,3.289,0.133,3.911,6.435,0.261
2510,907,O,531,Stanwood I-5 Park & Ride Bay 1,0,XNT,0.913,0.000,0.913,1.826,0.000
2510,907,O,2482,Smokey Point Blvd & 186th Pl NE,2,XNT,0.000,0.000,0.913,0.000,0.000
2510,907,O,1451,Smokey Point Blvd & 183rd Pl NE,3,XNT,0.022,0.000,0.935,0.043,0.000
2510,907,O,2520,Smokey Point Blvd & 182nd St NE,4,XNT,0.000,0.000,0.935,0.000,0.000
2510,907,O,1453,Smokey Point Blvd & 177th Pl NE,5,XNT,0.717,0.000,1.652,1.435,0.000
2510,907,O,1449,Smokey Point Transit Center Bay 5,6,XNT,0.283,0.022,1.913,0.565,0.043
2510,907,O,1594,172nd St NE & Smokey Point Blvd,7,XNT,0.391,0.000,2.304,0.783,0.000
2510,907,O,1398,I-5 & 116th St NE Flyer Stop,8,XNT,1.136,0.000,3.523,2.174,0.000
2510,907,O,2517,Marysville Ash Ave Park & Ride Bay 1,9,XNT,1.625,0.042,7.542,1.696,0.043
2510,907,O,2465,4th St & Beach Ave,10,XNT,0.348,0.000,8.217,0.348,0.000
2510,907,O,1397,I-5 & Marine Dr NE Flyer Stop,11,XNT,0.000,0.000,8.217,0.000,0.000
2510,907,O,2906,Cedar St & Hewitt Ave,12,XNT,0.609,0.000,8.826,0.609,0.000
2510,907,O,2341,Everett Station Bay B1,13,XNT,1.000,0.957,8.870,1.000,0.957
2510,907,O,2367,Broadway & 34th St,14,XNT,0.043,0.435,8.478,0.043,0.435
2510,907,O,2366,Broadway & 38th St,15,XNT,0.000,0.000,8.478,0.000,0.000
2510,907,O,3184,Seaway Transit Center Bay 2,16,XNT,0.000,8.429,0.095,0.000,7.696
2510,907,O,2484,Airport Rd & W Casino Rd,17,XNT,0.000,0.000,0.056,0.000,0.000
2510,907,O,2913,Airport Rd & Kasch Park Rd,18,AM,0.000,0.041,0.164,0.000,0.130
2510,907,O,2668,Airport Rd & 94th St SW,19,AM,0.000,0.055,0.110,0.000,0.174
2510,907,O,3444,100th St SW & 30th Ave W,20,AM,0.000,0.092,0.026,0.000,0.304
2510,907,O,3445,Paine Field Passenger Terminal,21,AM,0.000,0.024,0.000,0.000,0.087
2510,907,O,2517,Marysville Ash Ave Park & Ride Bay 1,9,AM,0.712,0.030,2.818,2.043,0.087
2510,907,O,2465,4th St & Beach Ave,10,AM,0.060,0.000,2.836,0.174,0.000
2510,907,O,1397,I-5 & Marine Dr NE Flyer Stop,11,AM,0.074,0.015,2.912,0.217,0.043
2510,907,O,2906,Cedar St & Hewitt Ave,12,AM,0.397,0.029,3.279,1.174,0.087
2510,907,O,2341,Everett Station Bay B1,13,AM,0.662,0.853,3.088,1.957,2.522
2510,907,O,2367,Broadway & 34th St,14,AM,0.015,0.015,3.088,0.043,0.043
2510,907,O,2366,Broadway & 38th St,15,AM,0.015,0.015,3.088,0.043,0.043
2510,907,O,3184,Seaway Transit Center Bay 2,16,AM,0.057,3.071,0.214,0.174,9.348
2510,907,O,2484,Airport Rd & W Casino Rd,17,AM,0.000,0.014,0.211,0.000,0.043
2510,907,O,531,Stanwood I-5 Park & Ride Bay 1,0,AM,1.578,0.000,1.578,3.087,0.000
2510,907,O,2482,Smokey Point Blvd & 186th Pl NE,2,AM,0.000,0.000,1.578,0.000,0.000
2510,907,O,1451,Smokey Point Blvd & 183rd Pl NE,3,AM,0.000,0.000,1.578,0.000,0.000
2510,907,O,2520,Smokey Point Blvd & 182nd St NE,4,AM,0.000,0.000,1.578,0.000,0.000
2510,907,O,1453,Smokey Point Blvd & 177th Pl NE,5,AM,0.111,0.000,1.689,0.217,0.000
2510,907,O,1449,Smokey Point Transit Center Bay 5,6,AM,0.400,0.022,2.067,0.783,0.043
2510,907,O,1594,172nd St NE & Smokey Point Blvd,7,AM,0.511,0.000,2.578,1.000,0.000
2510,907,O,1398,I-5 & 116th St NE Flyer Stop,8,AM,0.340,0.000,2.830,0.696,0.000
2510,907,O,2913,Airport Rd & Kasch Park Rd,18,XNT,0.000,0.000,0.062,0.000,0.000
2510,907,O,2668,Airport Rd & 94th St SW,19,XNT,0.000,0.000,0.062,0.000,0.000
2510,907,O,3444,100th St SW & 30th Ave W,20,XNT,0.000,0.000,0.000,0.000,0.000
2510,907,O,3445,Paine Field Passenger Terminal,21,XNT,0.000,0.000,0.000,0.000,0.000
