serviceChangeNum,routeNum,direction,stopId,stopName,stopOrderNum,timeOfDay,tripBoardings,tripAlightings,departingLoad,dailyBoardings,dailyAlightings
253,556,O,64561,Issaquah Highlands Park & Ride - Bay 4,1,AM,3.8,0,3.8,33.8,0
253,556,O,64549,9th Ave NE & NE Ellis Dr,2,AM,1.1,0,4.8,9.8,0.3
253,556,O,64585,Issaquah Transit Center - Bay 3,3,AM,4.8,0.1,9.5,43.4,0.8
253,556,O,67019,I-90 Expressway Ramp & 142nd Pl SE - Bay 3,4,AM,1.2,0.6,9.4,9.6,4.8
253,556,O,84292,South Bellevue Station Bus Plaza - Bay 3,5,AM,1.3,0.3,10.3,10.6,2.7
253,556,O,67960,Bellevue Way SE & SE 16th St,6,AM,0.4,0,10.6,2.9,0.3
253,556,O,67990,Bellevue Way SE & SE 10th St,7,AM,0.3,0.1,10.9,2.2,0.4
253,556,O,68020,Bellevue Way SE & SE 3rd St,8,AM,0.6,0.2,11.3,5,1.4
253,556,O,68035,Bellevue Way NE & Main St,9,AM,0.4,0.3,11.4,3,2.5
253,556,O,68042,NE 4th St & 105th Ave NE,10,AM,0.2,1.9,10.1,1.6,15.4
253,556,O,67655,Bellevue Transit Center - Bay 8,11,AM,2.9,3.5,9.2,22.9,28.2
253,556,O,71356,Clyde Hill/Yarrow Pt & Sr-520 - 92nd Avenue,12,AM,0.7,0,9.5,4.9,0.3
253,556,O,71355,Sr 520 & Evergreen Point Rd,13,AM,0.6,0.1,10,4.2,0.7
253,556,O,25753,Sr 520 & Montlake Blvd E,14,AM,0,0.1,9.9,0,0.7
253,556,O,25755,Montlake Blvd NE & NE Pacific Pl - Bay 4,15,AM,0.2,4.3,5.8,1.4,30.3
253,556,O,29420,NE Pacific St & 15th Ave NE,16,AM,0,1.7,4.1,0.1,12
253,556,O,29440,15th Ave NE & NE Campus Pkwy,17,AM,0,2.3,1.9,0,15.8
253,556,O,11352,15th Ave NE & NE 42nd St,18,AM,0,1.9,0,0.1,13.6
253,556,O,64561,Issaquah Highlands Park & Ride - Bay 4,1,MID,6,0,6,6,0
253,556,O,64549,9th Ave NE & NE Ellis Dr,2,MID,2.3,0.1,8.1,2.3,0.1
253,556,O,64585,Issaquah Transit Center - Bay 3,3,MID,4.2,0.3,12,4.2,0.3
253,556,O,67019,I-90 Expressway Ramp & 142nd Pl SE - Bay 3,4,MID,1.5,0.8,14.6,2.9,1.6
253,556,O,84292,South Bellevue Station Bus Plaza - Bay 3,5,MID,0.8,0.3,15.1,1.6,0.6
253,556,O,67960,Bellevue Way SE & SE 16th St,6,MID,0.4,0.1,15.4,0.8,0.2
253,556,O,67990,Bellevue Way SE & SE 10th St,7,MID,0.3,0,15.6,0.5,0
253,556,O,68020,Bellevue Way SE & SE 3rd St,8,MID,0.8,0.1,16.3,1.5,0.2
253,556,O,68035,Bellevue Way NE & Main St,9,MID,0.7,1,16,1.3,1.9
253,556,O,68042,NE 4th St & 105th Ave NE,10,MID,0.3,4.3,12.9,0.6,8.5
253,556,O,67655,Bellevue Transit Center - Bay 8,11,MID,2.4,5.2,9.8,4.8,10.3
253,556,O,71356,Clyde Hill/Yarrow Pt & Sr-520 - 92nd Avenue,12,MID,1.2,0.1,11.4,3.6,0.4
253,556,O,71355,Sr 520 & Evergreen Point Rd,13,MID,0.6,0,11.9,1.7,0.1
253,556,O,25753,Sr 520 & Montlake Blvd E,14,MID,0,0.1,11.9,0,0.2
253,556,O,25755,Montlake Blvd NE & NE Pacific Pl - Bay 4,15,MID,0.3,2.9,9.3,0.8,8.6
253,556,O,29420,NE Pacific St & 15th Ave NE,16,MID,0.1,2.7,6.7,0.4,8
253,556,O,29440,15th Ave NE & NE Campus Pkwy,17,MID,0,4,2.7,0.1,12.1
253,556,O,11352,15th Ave NE & NE 42nd St,18,MID,0,2.8,0,0.1,8.3
253,556,I,10912,15th Ave NE & NE 43rd St,1,PM,2.3,0,2.3,18.5,0.1
253,556,I,10914,15th Ave NE & NE Campus Pkwy,2,PM,2.1,0,4.3,16.8,0.3
253,556,I,10917,15th Ave NE & NE 40th St,3,PM,1.8,0,6,14.2,0
253,556,I,29240,NE Pacific St & 15th Ave NE,4,PM,1.8,0.1,7.7,14.2,0.7
253,556,I,29247,NE Pacific St & Montlake Blvd NE - Bay 1,5,PM,3.6,0.3,11,28.6,2.7
253,556,I,25754,Sr 520 & Montlake Blvd E,6,PM,0.2,0.1,11,1.2,0.4
253,556,I,71348,Sr 520 & Evergreen Point Rd,7,PM,0.2,0.9,10.4,1.8,7.4
253,556,I,71359,Clyde Hill/Yarrow Pt & Sr-520 - 92nd Avenue,8,PM,0.4,0.4,10.4,3.2,3.1
253,556,I,68005,Bellevue Transit Center - Bay 5,9,PM,3.1,3.4,10.8,22,23.8
253,556,I,85640,NE 4th St & 108th Ave NE,10,PM,2.1,0.2,12.8,14.5,1.7
253,556,I,67620,Bellevue Way NE & NE 4th St,11,PM,1.6,0.6,13.8,10.9,4.3
253,556,I,67640,Bellevue Way SE & Main St,12,PM,0.7,0.4,13.6,5,3
253,556,I,67650,Bellevue Way SE & SE 3rd St,13,PM,0.2,0.3,13.5,1.1,1.9
253,556,I,67700,Bellevue Way SE & SE 11th St,14,PM,0,0.2,13.3,0.1,1.2
253,556,I,67720,Bellevue Way SE & SE 16th St,15,PM,0,0.3,13.1,0.2,1.9
253,556,I,84263,South Bellevue Station Bus Plaza - Bay 1,16,PM,0.6,1.1,12.7,4.1,7.5
253,556,I,67013,I-90 Expressway Ramp & 142nd Pl SE - Bay 4,17,PM,1.3,1.6,12.4,9.2,11.3
